title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
Pirates of the Caribbean: On Stranger Tides,1045713802,276%,2.8,379,241,23.00%,805,77.00%,2011,2010's
Pirates of the Caribbean: The Curse of the Black Pearl,654264015,467%,4.7,140,305,46.70%,349,53.30%,2003,2000's
Planet of the Apes,362211740,362%,3.6,100,180,49.70%,182,50.30%,2001,2000's
Pocahontas,346079773,629%,6.3,55,142,40.90%,205,59.10%,1995,1990's
Pokémon Detective Pikachu,433230304,289%,2.9,150,144,33.30%,289,66.70%,2019,2010's
Pretty Woman,463406268,3310%,33.1,14,178,38.50%,285,61.50%,1990,1990's
Prince Caspian,419665568,187%,1.9,225,142,33.80%,278,66.20%,2008,2000's
Prince of Persia: The Sands of Time,336365676,182%,1.8,185,91,27.00%,246,73.00%,2009,2000's
Prometheus,403354469,310%,3.1,130,126,31.40%,277,68.60%,2012,2010's
Puss in Boots,554987477,427%,4.3,130,149,26.90%,406,73.10%,2011,2010's
Quantum of Solace,589580482,268%,2.7,220,168,28.60%,421,71.40%,2008,2000's
Raiders of the Lost Ark,389925971,1950%,19.5,20,248,63.60%,142,36.40%,1981,1980's
Rain Man,354825435,1419%,14.2,25,173,48.70%,182,51.30%,1988,1980's
Ralph Breaks the Internet,529323962,302%,3,175,201,38.00%,328,62.00%,2018,2010's
Rampage,428028233,357%,3.6,120,101,23.60%,327,76.40%,2018,2010's
Ransom,309492681,442%,4.4,70,136,44.10%,173,55.90%,1996,1990's
Ratatouille,623726085,416%,4.2,150,206,33.10%,417,66.90%,2007,2000's
Ready Player One,582918849,333%,3.3,175,138,23.60%,445,76.40%,2018,2010's
Resident Evil: The Final Chapter,312242626,781%,7.8,40,27,8.60%,285,91.40%,2016,2010's
Return of the Jedi,475106177,1105%,11,43,309,65.10%,166,34.90%,1983,1980's
Revenge of the Sith,868390560,768%,7.7,113,380,43.80%,488,56.20%,2005,2000's
Rio,483866518,538%,5.4,90,144,29.70%,340,70.30%,2011,2010's
Rio 2,498781117,384%,3.8,130,132,26.40%,367,73.60%,2014,2010's
Rise of the Planet of the Apes,481800873,518%,5.2,93,177,36.70%,305,63.30%,2011,2010's
Robin Hood,321669741,162%,1.6,198,105,32.70%,216,67.30%,2010,2010's
Robin Hood: Prince of Thieves,390493908,814%,8.1,48,165,42.40%,225,57.60%,1991,1990's
Rogue One,1058682142,385%,3.8,275,534,50.40%,525,49.60%,2016,2010's
Rush Hour 2,347325802,386%,3.9,90,226,65.10%,121,34.90%,2001,2000's
San Andreas,474009154,431%,4.3,110,155,32.70%,319,67.30%,2015,2010's
Saving Private Ryan,482349603,689%,6.9,70,217,45.00%,265,55.00%,1998,1990's
Saw IV,139352633,1394%,13.9,10,63.3,45.40%,76.1,54.60%,2007,2000's
Saw V,113870000,1054%,10.5,10.8,56.8,49.80%,57.1,50.20%,2008,2000's
Schindler's List,322161245,1464%,14.6,22,97,30.10%,225,69.90%,1993,1990's
Se7en,327333559,1091%,10.9,30,100,30.60%,227,69.40%,1995,1990's
Searching,75383741,7538%,75.4,1,26,34.50%,49.4,65.50%,2018,2010's
Semi-Pro,43890000,1688%,16.9,2.6,33.5,76.30%,10.4,23.70%,2008,2000's
Sex and the City,418765519,644%,6.4,65,153,36.40%,266,63.60%,2008,2000's
Shang-Chi,432243292,288%,2.9,150,225,52.00%,208,48.00%,2021,2020's
Shark Tale,374583879,499%,5,75,161,42.90%,214,57.10%,2004,2000's
Shazam!,366080049,366%,3.7,100,140,38.40%,226,61.60%,2019,2010's
Sherlock Holmes,524028679,582%,5.8,90,209,39.90%,315,60.10%,2009,2000's
Sherlock Holmes: A Game of Shadows,543848418,435%,4.4,125,187,34.40%,357,65.60%,2011,2010's
Shrek,488351320,814%,8.1,60,268,54.90%,220,45.10%,2001,2000's
Shrek 2,928760770,619%,6.2,150,441,47.50%,488,52.50%,2004,2000's
Shrek Forever After,752600867,456%,4.6,165,239,31.70%,514,68.30%,2010,2010's
Shrek the Third,813367380,508%,5.1,160,323,39.70%,491,60.30%,2007,2000's
Signs,408247917,567%,5.7,72,228,55.80%,180,44.20%,2002,2000's
Silver Linings Playbook,236412453,1126%,11.3,21,132.1,55.90%,104.3,44.10%,2012,2010's
Sing,634338384,846%,8.5,75,271,42.70%,364,57.30%,2016,2010's
Sing 2,407452213,479%,4.8,85,163,40.00%,245,60.00%,2021,2020's
Sinister,77712439,2590%,25.9,3,48.1,61.90%,29.6,38.10%,2012,2010's
Skyfall,1108569499,554%,5.5,200,304,27.50%,804,72.50%,2012,2010's
Sleight,3930990,1572%,15.7,0.25,3.9,100.00%,0,0.00%,2017,2010's
Slumdog Millionaire,378410542,2523%,25.2,15,141,37.40%,237,62.60%,2008,2000's
Snow White and the Huntsman,396592829,233%,2.3,170,155,39.20%,241,60.80%,2012,2010's
Solo: A Star Wars Story,392924807,131%,1.3,300,214,54.40%,179,45.60%,2018,2010's
